,Date,State,UR,StateName
409,1976-09-01,GA,8.0,georgia
410,1976-09-01,HI,8.8,hawaii
411,1976-09-01,ID,5.6,idaho
412,1976-09-01,IL,6.6,illinois
413,1976-09-01,IN,5.7,indiana
414,1976-09-01,IA,3.8,iowa
415,1976-09-01,KS,4.1,kansas
416,1976-09-01,KY,5.3,kentucky
417,1976-09-01,LA,7.0,louisiana
418,1976-09-01,ME,8.6,maine
419,1976-09-01,MD,6.7,maryland
420,1976-09-01,MA,9.1,massachusetts
421,1976-09-01,MI,9.0,michigan
422,1976-09-01,MN,5.8,minnesota
423,1976-09-01,MS,6.5,mississippi
424,1976-09-01,MO,6.4,missouri
425,1976-09-01,MT,6.0,montana
426,1976-09-01,NE,3.2,nebraska
427,1976-09-01,NV,8.7,nevada
428,1976-09-01,NH,6.3,new hampshire
429,1976-09-01,NJ,10.5,new jersey
430,1976-09-01,NM,8.9,new mexico
431,1976-09-01,NY,10.2,new york
432,1976-09-01,NC,6.1,north carolina
433,1976-09-01,ND,3.9,north dakota
434,1976-09-01,OH,7.5,ohio
435,1976-09-01,OK,5.5,oklahoma
436,1976-09-01,OR,9.2,oregon
437,1976-09-01,PA,7.7,pennsylvania
438,1976-09-01,RI,8.3,rhode island
439,1976-09-01,SC,6.9,south carolina
440,1976-09-01,SD,3.3,south dakota
441,1976-09-01,TN,6.1,tennessee
442,1976-09-01,TX,5.7,texas
443,1976-09-01,UT,5.4,utah
444,1976-09-01,VT,8.0,vermont
445,1976-09-01,VA,5.8,virginia
446,1976-09-01,WA,9.0,washington
447,1976-09-01,WV,6.7,west virginia
448,1976-09-01,WI,5.4,wisconsin
449,1976-09-01,WY,3.8,wyoming
450,1976-10-01,AL,7.0,alabama
451,1976-10-01,AK,8.1,alaska
452,1976-10-01,AZ,9.4,arizona
453,1976-10-01,AR,6.6,arkansas
454,1976-10-01,CA,9.3,california
455,1976-10-01,CO,6.2,colorado
456,1976-10-01,CT,8.7,connecticut
457,1976-10-01,DE,9.7,delaware
458,1976-10-01,FL,8.9,florida
459,1976-10-01,GA,8.1,georgia
460,1976-10-01,HI,8.6,hawaii
461,1976-10-01,ID,5.6,idaho
462,1976-10-01,IL,6.6,illinois
463,1976-10-01,IN,5.8,indiana
464,1976-10-01,IA,3.9,iowa
465,1976-10-01,KS,4.1,kansas
466,1976-10-01,KY,5.2,kentucky
467,1976-10-01,LA,7.0,louisiana
468,1976-10-01,ME,8.7,maine
469,1976-10-01,MD,6.8,maryland
470,1976-10-01,MA,8.9,massachusetts
471,1976-10-01,MI,8.9,michigan
472,1976-10-01,MN,5.8,minnesota
473,1976-10-01,MS,6.6,mississippi
474,1976-10-01,MO,6.5,missouri
